Year-month-day_hour;tweetcount
2013/05/08_03;5
2013/05/08_04;4
2013/05/08_05;5
2013/05/08_06;3
2013/05/08_07;2
2013/05/08_08;2
2013/05/08_09;2
2013/05/08_10;1
2013/05/08_11;9
2013/05/08_12;1
2013/05/08_13;2
2013/05/08_14;1
2013/05/08_15;1
2013/05/08_16;3
2013/05/08_17;5
2013/05/08_18;1
2013/05/08_20;5
2013/05/08_21;3
2013/05/08_22;2
2013/05/08_23;3
2013/05/09_02;2
2013/05/09_06;2
2013/05/09_07;4
2013/05/09_10;1
2013/05/09_11;4
2013/05/09_12;2
2013/05/09_13;8
2013/05/09_14;3
2013/05/09_15;1
2013/05/09_16;1
2013/05/09_17;2
2013/05/09_18;1
2013/05/09_20;7
2013/05/09_23;3
2013/05/10_00;1
2013/05/10_02;1
2013/05/10_06;1
2013/05/10_07;1
2013/05/10_09;1
2013/05/10_11;1
2013/05/10_13;2
2013/05/10_14;2
2013/05/10_16;1
2013/05/10_17;2
2013/05/10_18;1
2013/05/10_19;3
2013/05/10_20;3
2013/05/10_21;1
2013/05/11_04;1
2013/05/11_07;2
2013/05/11_15;1
2013/05/11_21;1
2013/05/11_22;2
2013/05/12_21;1
2013/05/12_23;1
2013/05/13_01;1
2013/05/13_03;1
2013/05/13_07;1
2013/05/13_08;1
2013/05/13_12;2
2013/05/13_13;2
2013/05/13_14;1
2013/05/13_15;1
2013/05/13_17;2
2013/05/13_18;1
2013/05/13_19;1
2013/05/13_20;6
2013/05/13_21;1
2013/05/14_06;1
2013/05/14_07;3
2013/05/14_09;3
2013/05/14_12;1
2013/05/14_13;2
2013/05/14_14;3
2013/05/14_15;3
2013/05/14_16;3
2013/05/14_17;2
2013/05/14_20;4
2013/05/14_21;7
2013/05/14_23;2
2013/05/15_00;1
2013/05/15_10;1
2013/05/15_12;1
2013/05/15_13;2
2013/05/15_14;4
2013/05/15_15;2
2013/05/15_16;1
2013/05/15_17;3
2013/05/15_18;2
2013/05/15_20;38
2013/05/15_21;6
2013/05/15_23;2
2013/05/16_00;1
2013/05/16_01;1
2013/05/16_02;1
2013/05/16_05;2
2013/05/16_06;3
2013/05/16_09;4
2013/05/16_13;3
2013/05/16_14;3
2013/05/16_16;2
2013/05/16_17;4
2013/05/16_19;1
2013/05/16_20;5
2013/05/16_21;2
2013/05/17_03;1
2013/05/17_06;1
2013/05/17_07;2
2013/05/17_11;2
2013/05/17_12;1
2013/05/17_13;3
2013/05/17_14;6
2013/05/17_15;3
2013/05/17_17;2
2013/05/17_18;1
2013/05/17_19;2
2013/05/17_20;8
2013/05/17_21;3
2013/05/18_00;1
2013/05/18_02;1
2013/05/18_03;4
2013/05/18_04;1
2013/05/18_07;1
2013/05/18_08;1
2013/05/18_09;1
2013/05/18_12;1
2013/05/18_17;1
2013/05/18_21;1
2013/05/18_23;5
2013/05/19_00;2
2013/05/19_02;1
2013/05/19_08;1
2013/05/19_12;2
2013/05/19_14;1
2013/05/19_21;1
2013/05/19_22;1
2013/05/20_04;2
2013/05/20_08;5
2013/05/20_09;2
