Year-month-day_hour;#ibm;#aapl;#msft;#facebook
2013-05-02_19;39;5;73;635
2013-05-02_20;50;5;94;1053
2013-05-02_21;58;1;104;1069
2013-05-02_22;32;6;91;857
2013-05-02_23;32;1;123;813
2013-05-03_00;28;2;86;748
2013-05-03_01;18;4;66;856
2013-05-03_02;14;3;88;623
2013-05-03_03;23;1;55;604
2013-05-03_04;22;0;61;552
2013-05-03_05;29;2;65;542
2013-05-03_06;34;1;91;539
2013-05-03_07;58;6;93;650
2013-05-03_08;70;1;105;699
2013-05-03_09;60;2;90;722
2013-05-03_10;76;3;82;794
2013-05-03_11;81;3;88;785
2013-05-03_12;89;3;125;805
2013-05-03_13;93;3;138;861
2013-05-03_14;162;7;158;1160
2013-05-03_15;102;7;126;1572
2013-05-03_16;88;15;135;1272
2013-05-03_17;82;17;128;915
2013-05-03_18;59;8;130;931
2013-05-03_19;42;10;111;851
2013-05-03_20;48;8;106;876
2013-05-03_21;57;7;122;740
2013-05-03_22;35;2;93;768
2013-05-03_23;18;5;76;690
2013-05-04_00;18;4;53;586
2013-05-04_01;14;6;53;557
2013-05-04_02;11;1;51;559
2013-05-04_03;13;5;33;586
2013-05-04_04;3;1;29;455
2013-05-04_05;6;1;39;436
2013-05-04_06;7;0;65;510
2013-05-04_07;15;0;54;472
2013-05-04_08;18;3;44;479
2013-05-04_09;19;3;65;464
2013-05-04_10;14;2;53;458
2013-05-04_11;14;1;71;527
2013-05-04_12;26;1;71;592
2013-05-04_13;21;1;68;746
2013-05-04_14;21;3;60;979
2013-05-04_15;18;3;56;830
2013-05-04_16;21;2;58;833
2013-05-04_17;23;4;61;804
2013-05-04_18;15;3;89;634
2013-05-04_19;13;3;58;615
2013-05-04_20;14;6;61;594
2013-05-04_21;14;1;29;693
2013-05-04_22;10;3;67;615
2013-05-04_23;11;9;47;646
2013-05-05_00;7;0;32;606
2013-05-05_01;12;2;37;504
2013-05-05_02;11;9;44;444
2013-05-05_03;3;11;29;408
2013-05-05_04;5;3;24;430
2013-05-05_05;6;0;31;368
2013-05-05_06;8;0;45;451
2013-05-05_07;6;2;37;422
2013-05-05_08;7;1;63;451
2013-05-05_09;11;0;47;518
2013-05-05_10;10;0;39;483
2013-05-05_11;13;2;54;469
2013-05-05_12;21;2;39;1932
2013-05-05_13;16;2;66;946
2013-05-05_14;13;0;71;804
2013-05-05_15;12;2;51;799
2013-05-05_16;24;0;56;840
2013-05-05_17;14;6;63;717
2013-05-05_18;20;0;57;700
2013-05-05_19;22;4;74;570
2013-05-05_20;20;1;47;695
2013-05-05_21;16;3;40;702
2013-05-05_22;11;4;37;633
2013-05-05_23;21;1;36;581
2013-05-06_00;16;6;44;579
2013-05-06_01;12;2;45;527
2013-05-06_02;13;0;30;584
2013-05-06_03;19;3;37;552
2013-05-06_04;10;2;42;484
2013-05-06_05;19;4;56;514
2013-05-06_06;24;9;55;467
2013-05-06_07;26;1;91;572
2013-05-06_08;28;0;75;718
2013-05-06_09;40;1;79;726
2013-05-06_10;36;8;66;784
2013-05-06_11;45;6;66;776
2013-05-06_12;69;17;115;739
2013-05-06_13;67;14;125;815
2013-05-06_14;106;18;128;896
2013-05-06_15;79;18;123;976
2013-05-06_16;71;23;128;871
2013-05-06_17;46;14;117;952
2013-05-06_18;56;20;159;880
2013-05-06_19;68;11;166;853
2013-05-06_20;70;15;114;806
2013-05-06_21;41;11;110;837
2013-05-06_22;34;3;101;722
2013-05-06_23;27;3;78;685
2013-05-07_00;25;2;68;772
2013-05-07_01;23;3;59;2319
2013-05-07_02;19;8;75;835
2013-05-07_03;25;7;64;647
2013-05-07_04;17;4;138;591
2013-05-07_05;17;2;107;625
2013-05-07_06;22;4;119;588
2013-05-07_07;47;1;134;596
2013-05-07_08;58;2;140;706
2013-05-07_09;45;2;185;635
2013-05-07_10;35;3;166;811
2013-05-07_11;44;3;194;772
2013-05-07_12;74;4;212;882
2013-05-07_13;68;7;203;983
