Year-month-day_hour;#ibm;#aapl;#msft;#facebook;AAPL
28/04/2013;;;;;
29/04/2013;;;;;430.12
30/04/2013;;;;;442.78
1/05/2013;;;;;439.29
2/05/2013;211;18;485;4427;445.52
3/05/2013;1388;120;2418;19555;449.98
4/05/2013;359;66;1335;14670;
5/05/2013;309;55;1119;15473;
6/05/2013;1022;209;2150;17315;460.71
7/05/2013;1241;138;3786;21221;458.66
8/05/2013;1346;141;3262;18808;463.84
9/05/2013;1136;125;3084;19657;456.77
10/05/2013;929;113;2457;18443;452.97
11/05/2013;269;48;1505;14095;
12/05/2013;179;79;1208;13160;
13/05/2013;245;27;869;6472;454.74
14/05/2013;;;;;443.86
15/05/2013;;;;;428.85
